ear,mar,pitch_dev,label
0.2589,0.0,0.0,AWAKE
0.1035,0.0,0.0,AWAKE
0.086,0.0,0.0,AWAKE
0.0819,0.0,0.0,AWAKE
0.1126,0.0151,0.0,AWAKE
0.1817,0.0,0.0,AWAKE
0.2176,0.0,0.0,AWAKE
0.2315,0.0,0.0,AWAKE
0.2554,0.0,0.0,AWAKE
0.2758,0.0,0.0,AWAKE
0.2888,0.0,0.0,AWAKE
0.2717,0.0154,0.0,AWAKE
0.2824,0.0,0.0,AWAKE
0.2832,0.0,0.0,AWAKE
0.2549,0.0159,0.0,AWAKE
0.2692,0.0,0.0,AWAKE
0.2748,0.0156,0.0,AWAKE
0.2752,0.0,0.0,AWAKE
0.2718,0.0156,0.0,AWAKE
0.2474,0.0221,0.0,AWAKE
0.2473,0.0,0.0,AWAKE
0.2616,0.0,0.0,AWAKE
0.2609,0.0,0.0,AWAKE
0.2578,0.0,0.0,AWAKE
0.2681,0.0308,0.0,AWAKE
0.2645,0.0156,0.0,AWAKE
0.2579,0.0312,0.0,AWAKE
0.2679,0.0156,0.0,AWAKE
0.254,0.0,0.0,AWAKE
0.2673,0.0154,0.0,AWAKE
0.254,0.0,0.0,AWAKE
0.2578,0.0,0.0,AWAKE
0.2744,0.0154,0.0,AWAKE
0.2679,0.0156,0.0,AWAKE
0.2811,0.0,0.0,AWAKE
0.2751,0.0,0.0,AWAKE
0.2717,0.0,0.0,AWAKE
0.2688,0.0,0.0,AWAKE
0.2488,0.0,0.0,AWAKE
0.2641,0.0,0.0,AWAKE
0.2705,0.0,0.0,AWAKE
0.2743,0.0,0.0,AWAKE
0.2682,0.0154,0.0,AWAKE
0.2539,0.0,0.0,AWAKE
0.2508,0.0,0.0,AWAKE
0.2653,0.0154,0.0,AWAKE
0.2587,0.0,0.0,AWAKE
0.2574,0.0,0.0,AWAKE
0.2641,0.0,0.0,AWAKE
0.2702,0.0,0.0,AWAKE
0.278,0.0,0.0,AWAKE
0.266,0.0,0.0,AWAKE
0.2879,0.0,0.0,AWAKE
0.269,0.0,0.0,AWAKE
0.2747,0.0,0.0,AWAKE
0.2684,0.0,0.0,AWAKE
0.2408,0.0154,0.0,AWAKE
0.2354,0.0,0.0,AWAKE
0.2406,0.0,0.0,AWAKE
0.2124,0.0,0.0,AWAKE
0.2221,0.0,0.0,AWAKE
0.2069,0.0,0.0,AWAKE
0.185,0.0,0.0,AWAKE
0.2176,0.0,0.0,AWAKE
0.2301,0.0154,0.0,AWAKE
0.2235,0.0,0.0,AWAKE
0.2097,0.0,0.0,AWAKE
0.2083,0.0,0.0,AWAKE
0.2345,0.0,0.0,AWAKE
0.2538,0.0,0.0,AWAKE
0.2653,0.0,0.0,AWAKE
0.29,0.0,0.0,AWAKE
0.2687,0.0,0.0,AWAKE
0.2551,0.0,0.0,AWAKE
0.2742,0.0,0.0,AWAKE
0.2752,0.0,0.0,AWAKE
0.2644,0.0,0.0,AWAKE
0.2689,0.0156,0.0,AWAKE
0.2623,0.0,0.0,AWAKE
0.2764,0.0,0.0,AWAKE
0.2706,0.0,0.0,AWAKE
0.2714,0.0,0.0,AWAKE
0.2712,0.0,0.0,AWAKE
0.2617,0.0154,0.0,AWAKE
0.2641,0.0,0.0,AWAKE
0.2672,0.0,0.0,AWAKE
0.2599,0.0,0.0,AWAKE
0.2661,0.0,0.0,AWAKE
0.2542,0.0,0.0,AWAKE
0.2586,0.0,0.0,AWAKE
0.2466,0.0,0.0,AWAKE
0.2552,0.0,0.0,AWAKE
0.2436,0.0,0.0,AWAKE
0.2458,0.0,0.0,AWAKE
0.2555,0.0151,0.0,AWAKE
0.2497,0.0,0.0,AWAKE
0.25,0.0,0.0,AWAKE
0.2594,0.0,0.0,AWAKE
0.2434,0.0,0.0,AWAKE
0.2542,0.0,0.0,AWAKE
0.2436,0.0,0.0,AWAKE
0.2639,0.0,0.0,AWAKE
0.2629,0.0151,0.0,AWAKE
0.2587,0.0,0.0,AWAKE
0.2562,0.0156,0.0,AWAKE
0.2499,0.0,0.0,AWAKE
0.2606,0.0,0.0,AWAKE
0.2619,0.0154,0.0,AWAKE
0.2508,0.0156,0.0,AWAKE
0.2533,0.0,0.0,AWAKE
0.2516,0.0,0.0,AWAKE
0.2562,0.0,0.0,AWAKE
0.2403,0.0,0.0,AWAKE
0.2531,0.0,0.0,AWAKE
0.2512,0.0,0.0,AWAKE
0.2704,0.0,0.0,AWAKE
0.2572,0.0151,0.0,AWAKE
0.25,0.0,0.0,AWAKE
0.2519,0.0,0.0,AWAKE
0.2574,0.0,0.0,AWAKE
0.2668,0.0,0.0,AWAKE
0.2545,0.0154,0.0,AWAKE
0.257,0.0154,0.0,AWAKE
0.2579,0.0,0.0,AWAKE
0.2542,0.0,0.0,AWAKE
0.2577,0.0,0.0,AWAKE
0.2587,0.0154,0.0,AWAKE
0.2744,0.0,0.0,AWAKE
0.2555,0.0,0.0,AWAKE
0.2427,0.0,0.0,AWAKE
0.2567,0.0,0.0,AWAKE
0.2595,0.0,0.0,AWAKE
0.2567,0.0,0.0,AWAKE
0.2394,0.0,0.0,AWAKE
0.2469,0.0,0.0,AWAKE
0.2384,0.0,0.0,AWAKE
0.2459,0.0,0.0,AWAKE
0.2492,0.0156,0.0,AWAKE
0.247,0.0151,0.0,AWAKE
0.2395,0.0,0.0,AWAKE
0.233,0.0156,0.0,AWAKE
0.2455,0.0156,0.0,AWAKE
0.249,0.0,0.0,AWAKE
0.0356,0.0,0.0,EYE_CLOSED
0.0518,0.0149,0.0,EYE_CLOSED
0.0468,0.0,0.0,EYE_CLOSED
0.0626,0.0,0.0,EYE_CLOSED
0.0361,0.0,0.0,EYE_CLOSED
0.043,0.0,0.0,EYE_CLOSED
0.0459,0.0,0.0,EYE_CLOSED
0.052,0.0,0.0,EYE_CLOSED
0.0458,0.0,0.0,EYE_CLOSED
0.0424,0.0,0.0,EYE_CLOSED
0.061,0.0,0.0,EYE_CLOSED
0.058,0.0,0.0,EYE_CLOSED
